GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52
0500000US25015,25015,"Hampshire County, Massachusetts",80809,2924,62357,2992,56131,3038,6226,1406,5300,1415,246,189,680,483,3299,1158,3052,1108,0,204,0,204,247,298,0,204,897,565,5083,1311,769,490,8404,1410,38637,1881,29252,2024,26461,2018,2791,776,2455,793,52,74,284,205,2064,856,1817,778,0,204,0,204,247,298,0,204,594,397,2351,1134,346,342,4030,923,42172,1955,33105,2050,29670,1999,3435,904,2845,854,194,145,396,392,1235,707,1235,707,0,204,0,204,0,204,0,204,303,386,2732,630,423,374,4374,955
0500000US25017,25017,"Middlesex County, Massachusetts",782426,7866,610081,8885,542877,9093,67204,5158,56855,4927,6455,1383,3894,1115,81138,5025,29296,3625,1252,656,39504,3143,11086,1684,0,204,10040,1700,36406,2803,6932,1454,37829,3064,408835,5231,322023,6216,291737,6221,30286,3002,25478,2827,3028,971,1780,599,40190,3667,15170,2803,642,537,18459,2193,5919,1090,0,204,6908,1243,15986,1848,3850,955,19878,2173,373591,5665,288058,6407,251140,6431,36918,3390,31377,3239,3427,823,2114,784,40948,3029,14126,1817,610,379,21045,2071,5167,1188,0,204,3132,861,20420,2115,3082,1113,17951,1831
0500000US25021,25021,"Norfolk County, Massachusetts",338579,4866,267555,5885,244853,5872,22702,3051,19043,2746,2069,868,1590,837,39114,3273,5553,1454,1205,593,19414,2054,12785,1978,157,151,1975,681,11741,1610,2197,855,15997,1860,175907,2829,140515,3595,127673,3572,12842,1891,10905,1739,889,454,1048,638,19850,2203,2752,925,411,345,8791,1441,7838,1275,58,94,1661,587,4810,1021,1390,604,7681,1184,162672,3509,127040,3972,117180,4100,9860,1812,8138,1580,1180,574,542,296,19264,2246,2801,944,794,455,10623,1545,4947,1153,99,117,314,245,6931,1131,807,544,8316,1313
0500000US25023,25023,"Plymouth County, Massachusetts",237846,4981,208937,5075,190355,4992,18582,2717,15950,2645,1699,690,933,508,11443,1843,1685,603,172,195,1620,548,6135,1429,1831,794,270,310,4893,1295,1382,496,10921,1928,119426,3495,104048,3282,94852,3091,9196,1486,8027,1450,867,413,302,258,6899,1312,904,405,90,149,871,372,4027,1089,1007,513,132,215,1821,590,800,383,5726,1387,118420,3142,104889,3494,95503,3623,9386,1972,7923,1913,832,490,631,425,4544,1140,781,435,82,121,749,346,2108,839,824,563,138,223,3072,1249,582,333,5195,1110
0500000US25025,25025,"Suffolk County, Massachusetts",360876,6965,178063,6453,149557,6155,28506,2983,21739,2587,3821,1065,2946,1136,112970,6634,43781,3913,3136,1039,60917,4752,5093,1421,43,76,5435,1500,47955,3873,3075,853,13378,1949,184476,5038,96555,4645,82012,4513,14543,2249,10827,1903,1977,716,1739,960,52473,3851,18737,2163,1454,658,29278,3097,3004,981,0,204,4170,1306,23404,2313,1791,583,6083,1413,176400,4662,81508,4325,67545,3980,13963,1573,10912,1398,1844,677,1207,618,60497,4110,25044,2903,1682,699,31639,2855,2089,873,43,76,1265,498,24551,2520,1284,551,7295,1317
0500000US25027,25027,"Worcester County, Massachusetts",382482,5847,345871,6563,313580,6784,32291,3705,26417,3022,4201,1584,1673,658,5680,1183,2383,878,0,204,418,347,2879,704,0,204,434,288,12385,2074,2561,808,15551,1895,197413,4536,178187,4738,161666,4523,16521,2278,13452,1819,2175,1036,894,434,3590,852,1364,584,0,204,188,210,2038,604,0,204,352,282,6154,1203,1092,590,8038,1643,185069,4462,167684,4821,151914,4813,15770,2313,12965,2026,2026,894,779,408,2090,856,1019,642,0,204,230,239,841,442,0,204,82,134,6231,1460,1469,658,7513,1074
0500000US26049,26049,"Genesee County, Michigan",155119,3671,147509,3912,134773,4143,12736,1779,9278,1680,2278,742,1180,556,1203,537,1203,537,0,167,0,167,0,167,0,167,129,141,1167,425,765,400,4346,968,74759,2125,71293,2286,63927,2545,7366,1249,4876,1159,1568,539,922,416,435,322,435,322,0,167,0,167,0,167,0,167,129,141,530,294,714,402,1658,517,80360,2989,76216,3177,70846,3079,5370,933,4402,880,710,354,258,213,768,411,768,411,0,167,0,167,0,167,0,167,0,167,637,293,51,62,2688,719
0500000US26065,26065,"Ingham County, Michigan",126095,3585,107213,3689,95855,3782,11358,2116,9997,1878,888,510,473,273,3880,903,3880,903,0,167,0,167,0,167,0,167,2925,825,6371,1235,631,375,5075,1161,64563,2504,54028,2516,48207,2536,5821,1361,5047,1124,464,438,310,241,2122,741,2122,741,0,167,0,167,0,167,0,167,2142,698,3035,961,406,290,2830,805,61532,2364,53185,2332,47648,2291,5537,1085,4950,1058,424,277,163,113,1758,546,1758,546,0,167,0,167,0,167,0,167,783,551,3336,811,225,203,2245,636
0500000US26073,26073,"Isabella County, Michigan",30014,1799,25253,1519,22595,1580,2658,687,2317,693,259,138,82,90,462,251,462,251,0,167,0,167,0,167,0,167,541,384,2800,1897,67,59,891,299,14651,1443,11635,1210,10576,1128,1059,387,863,357,138,89,58,60,188,161,188,161,0,167,0,167,0,167,0,167,343,335,1915,1778,67,59,503,198,15363,1001,13618,921,12019,1023,1599,584,1454,587,121,97,24,40,274,158,274,158,0,167,0,167,0,167,0,167,198,214,885,404,0,167,388,177
0500000US26075,26075,"Jackson County, Michigan",61929,2645,58133,2640,52280,2649,5853,1035,4994,928,498,318,361,195,147,133,147,133,0,167,0,167,0,167,0,167,378,341,1398,530,466,346,1407,623,31680,1927,29492,1944,26564,1990,2928,769,2252,704,468,319,208,161,84,81,84,81,0,167,0,167,0,167,0,167,343,335,804,468,218,202,739,435,30249,1480,28641,1417,25716,1531,2925,740,2742,715,30,52,153,121,63,99,63,99,0,167,0,167,0,167,0,167,35,61,594,289,248,294,668,406
0500000US26077,26077,"Kalamazoo County, Michigan",113578,3672,104805,3852,94830,3969,9975,2118,8529,1774,1034,697,412,288,833,384,833,384,0,167,0,167,0,167,0,167,369,224,2642,796,631,380,4298,971,58669,2501,53941,2559,48470,2671,5471,1398,4565,1226,688,515,218,187,377,233,377,233,0,167,0,167,0,167,0,167,346,223,1490,635,530,342,1985,694,54909,2422,50864,2635,46360,2816,4504,1176,3964,1096,346,290,194,198,456,382,456,382,0,167,0,167,0,167,0,167,23,37,1152,507,101,168,2313,715
0500000US26081,26081,"Kent County, Michigan",283713,4580,259679,4454,231669,4921,28010,3143,23448,3002,3129,841,1433,540,5580,1242,5580,1242,0,167,0,167,0,167,0,167,1187,561,3785,946,2748,934,10734,1686,148187,3376,134469,3320,119624,3689,14845,2170,12555,2036,1636,597,654,393,3027,1016,3027,1016,0,167,0,167,0,167,0,167,1039,545,2272,798,1884,684,5496,1232,135526,3005,125210,2937,112045,2937,13165,1675,10893,1615,1493,476,779,470,2553,766,2553,766,0,167,0,167,0,167,0,167,148,135,1513,486,864,542,5238,1016
0500000US26093,26093,"Livingston County, Michigan",86719,2333,80429,2269,73623,2436,6806,1315,5236,1236,1127,621,443,229,109,114,63,88,0,167,0,167,46,76,0,167,115,115,1077,537,464,309,4525,1079,46897,1539,43622,1527,39889,1689,3733,845,2988,769,490,392,255,161,57,80,11,24,0,167,0,167,46,76,0,167,115,115,387,201,219,161,2497,793,39822,1721,36807,1698,33734,1680,3073,841,2248,728,637,380,188,167,52,85,52,85,0,167,0,167,0,167,0,167,0,167,690,480,245,240,2028,593
